team,player,position,salary_2025,notes
Shane,George Kittle,TE,64,
Shane,Kyle Monangai,RB,1,
Shane,Jayden Higgins,WR,10,
Shane,AD Mitchell,WR,11,
Shane,AJ Barner,TE,1,
Shane,Blake Corum,RB,1,
Shane,Tre Tucker,WR,1,
Shane,Christian Watson,WR,1,
Shane,Kayshon Boutte,WR,1,
Shane,Pat Bryant,WR,7,
Shane,Bill Croskey-Merritt,RB,46,
Shane,Keaton Mitchell,RB,21,
Shane,Evan Hull,RB,1,
Travis,Jayden Reed,WR,16,
Travis,Malik Nabers,WR,6,tagged 2025
Travis,Woody Marks,RB,1,
Travis,Xavier Worthy,WR,11,
Travis,Baker Mayfield,QB,11,
Travis,Tet McMillan,WR,1,
Travis,Mark Andrews,TE,43,
Travis,Rashid Shaheed,WR,10,
Travis,Isiah Pacheco,RB,66,
Travis,Jared Goff,QB,27,
Travis,Rhamondre Stevenson,RB,32,
Travis,Tyler Allgeier,RB,15,
Travis,Hunter Henry,TE,2,
Travis,Xavier Legette,WR,1,
Travis,TJ Hockenson,TE,48,
